"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=Qns2.ReadWrite2"
"main", "5", "SYSTEM", "Method Call", " caller=SYSTEM, target=Qns2.ReadWrite2#main:1"
"main", "6", "SYSTEM", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "SYSTEM", "New Object", " object=java.lang.String[]:1"
"main", "9", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, args=java.lang.String[]:1"
"main", "10", "SYSTEM", "Line Step", " <source unavailable>"
"main", "11", "SYSTEM", "Type Load", " class=Qns2.Database"
"main", "12", "SYSTEM", "New Object", " object=Qns2.Database:1"
"main", "13", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Database:1#Database:1"
"main", "14", "SYSTEM", "Method Entered", " "
"main", "15", "SYSTEM", "Line Step", " <source unavailable>"
"main", "16", "SYSTEM", "Line Step", " <source unavailable>"
"main", "17", "SYSTEM", "Field Write", " context=Qns2.Database:1, data=0"
"main", "18", "SYSTEM", "Line Step", " <source unavailable>"
"main", "19", "SYSTEM", "Field Write", " context=Qns2.Database:1, r=0"
"main", "20", "SYSTEM", "Line Step", " <source unavailable>"
"main", "21", "SYSTEM", "Field Write", " context=Qns2.Database:1, w=0"
"main", "22", "SYSTEM", "Line Step", " <source unavailable>"
"main", "23", "SYSTEM", "Method Exit", " returner=Qns2.Database:1#Database:1, value=<void>"
"main", "24", "SYSTEM", "Method Returned", " "
"main", "25", "SYSTEM", "Line Step", " <source unavailable>"
"main", "26", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, d=Qns2.Database:1"
"main", "27", "SYSTEM", "Line Step", " <source unavailable>"
"main", "28", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "29", "SYSTEM", "Type Load", " class=Qns2.Writer"
"main", "30", "SYSTEM", "New Object", " object=Qns2.Writer:1"
"main", "31", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:1#Qns2.Writer:1"
"main", "32", "SYSTEM", "Method Entered", " "
"main", "33", "SYSTEM", "Variable Write", " context=Qns2.Writer:1#Qns2.Writer:1, d=Qns2.Database:1"
"main", "34", "SYSTEM", "Variable Write", " context=Qns2.Writer:1#Qns2.Writer:1, x=1"
"main", "35", "SYSTEM", "Line Step", " <source unavailable>"
"main", "36", "SYSTEM", "Line Step", " <source unavailable>"
"main", "37", "SYSTEM", "Field Write", " context=Qns2.Writer:1, d=Qns2.Database:1"
"main", "38", "SYSTEM", "Line Step", " <source unavailable>"
"main", "39", "SYSTEM", "Field Write", " context=Qns2.Writer:1, x=1"
"main", "40", "SYSTEM", "Line Step", " <source unavailable>"
"main", "41", "SYSTEM", "Method Exit", " returner=Qns2.Writer:1#Qns2.Writer:1, value=<void>"
"main", "42", "SYSTEM", "Method Returned", " "
"main", "43", "SYSTEM", "Line Step", " <source unavailable>"
"main", "44", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w1=Qns2.Writer:1"
"main", "45", "SYSTEM", "Line Step", " <source unavailable>"
"main", "46", "SYSTEM", "New Object", " object=Qns2.Writer:2"
"main", "47", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:2#Qns2.Writer:2"
"main", "48", "SYSTEM", "Method Entered", " "
"main", "49", "SYSTEM", "Variable Write", " context=Qns2.Writer:2#Qns2.Writer:2, d=Qns2.Database:1"
"main", "50", "SYSTEM", "Variable Write", " context=Qns2.Writer:2#Qns2.Writer:2, x=10"
"main", "51", "SYSTEM", "Line Step", " <source unavailable>"
"main", "52", "SYSTEM", "Line Step", " <source unavailable>"
"main", "53", "SYSTEM", "Field Write", " context=Qns2.Writer:2, d=Qns2.Database:1"
"main", "54", "SYSTEM", "Line Step", " <source unavailable>"
"main", "55", "SYSTEM", "Field Write", " context=Qns2.Writer:2, x=10"
"main", "56", "SYSTEM", "Line Step", " <source unavailable>"
"main", "57", "SYSTEM", "Method Exit", " returner=Qns2.Writer:2#Qns2.Writer:2, value=<void>"
"main", "58", "SYSTEM", "Method Returned", " "
"main", "59", "SYSTEM", "Line Step", " <source unavailable>"
"main", "60", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w2=Qns2.Writer:2"
"main", "61", "SYSTEM", "Line Step", " <source unavailable>"
"main", "62", "SYSTEM", "New Object", " object=Qns2.Writer:3"
"main", "63", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:3#Qns2.Writer:3"
"main", "64", "SYSTEM", "Method Entered", " "
"main", "65", "SYSTEM", "Variable Write", " context=Qns2.Writer:3#Qns2.Writer:3, d=Qns2.Database:1"
"main", "66", "SYSTEM", "Variable Write", " context=Qns2.Writer:3#Qns2.Writer:3, x=100"
"main", "67", "SYSTEM", "Line Step", " <source unavailable>"
"main", "68", "SYSTEM", "Line Step", " <source unavailable>"
"main", "69", "SYSTEM", "Field Write", " context=Qns2.Writer:3, d=Qns2.Database:1"
"main", "70", "SYSTEM", "Line Step", " <source unavailable>"
"main", "71", "SYSTEM", "Field Write", " context=Qns2.Writer:3, x=100"
"main", "72", "SYSTEM", "Line Step", " <source unavailable>"
"main", "73", "SYSTEM", "Method Exit", " returner=Qns2.Writer:3#Qns2.Writer:3, value=<void>"
"main", "74", "SYSTEM", "Method Returned", " "
"main", "75", "SYSTEM", "Line Step", " <source unavailable>"
"main", "76", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w3=Qns2.Writer:3"
"main", "77", "SYSTEM", "Line Step", " <source unavailable>"
"main", "78", "SYSTEM", "New Object", " object=Qns2.Writer:4"
"main", "79", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:4#Qns2.Writer:4"
"main", "80", "SYSTEM", "Method Entered", " "
"main", "81", "SYSTEM", "Variable Write", " context=Qns2.Writer:4#Qns2.Writer:4, d=Qns2.Database:1"
"main", "82", "SYSTEM", "Variable Write", " context=Qns2.Writer:4#Qns2.Writer:4, x=1000"
"main", "83", "SYSTEM", "Line Step", " <source unavailable>"
"main", "84", "SYSTEM", "Line Step", " <source unavailable>"
"main", "85", "SYSTEM", "Field Write", " context=Qns2.Writer:4, d=Qns2.Database:1"
"main", "86", "SYSTEM", "Line Step", " <source unavailable>"
"main", "87", "SYSTEM", "Field Write", " context=Qns2.Writer:4, x=1000"
"main", "88", "SYSTEM", "Line Step", " <source unavailable>"
"main", "89", "SYSTEM", "Method Exit", " returner=Qns2.Writer:4#Qns2.Writer:4, value=<void>"
"main", "90", "SYSTEM", "Method Returned", " "
"main", "91", "SYSTEM", "Line Step", " <source unavailable>"
"main", "92", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w4=Qns2.Writer:4"
"main", "93", "SYSTEM", "Line Step", " <source unavailable>"
"main", "94", "SYSTEM", "New Object", " object=Qns2.Writer:5"
"main", "95", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Writer:5#Qns2.Writer:5"
"main", "96", "SYSTEM", "Method Entered", " "
"main", "97", "SYSTEM", "Variable Write", " context=Qns2.Writer:5#Qns2.Writer:5, d=Qns2.Database:1"
"main", "98", "SYSTEM", "Variable Write", " context=Qns2.Writer:5#Qns2.Writer:5, x=10000"
"main", "99", "SYSTEM", "Line Step", " <source unavailable>"
"main", "100", "SYSTEM", "Line Step", " <source unavailable>"
"main", "101", "SYSTEM", "Field Write", " context=Qns2.Writer:5, d=Qns2.Database:1"
"main", "102", "SYSTEM", "Line Step", " <source unavailable>"
"main", "103", "SYSTEM", "Field Write", " context=Qns2.Writer:5, x=10000"
"main", "104", "SYSTEM", "Line Step", " <source unavailable>"
"main", "105", "SYSTEM", "Method Exit", " returner=Qns2.Writer:5#Qns2.Writer:5, value=<void>"
"main", "106", "SYSTEM", "Method Returned", " "
"main", "107", "SYSTEM", "Line Step", " <source unavailable>"
"main", "108", "SYSTEM", "Variable Write", " context=Qns2.ReadWrite2#main:1, w5=Qns2.Writer:5"
"main", "109", "SYSTEM", "Line Step", " <source unavailable>"
"main", "110", "SYSTEM", "Type Load", " class=Qns2.Reader"
"main", "111", "SYSTEM", "New Object", " object=Qns2.Reader:1"
"main", "112", "SYSTEM", "Method Call", " caller=Qns2.ReadWrite2#main:1, target=Qns2.Reader:1#Qns2.Reader:1"
"main", "113", "SYSTEM", "Method Entered", " "
"main", "114", "SYSTEM", "Variable Write", " context=Qns2.Reader:1#Qns2.Reader:1, d=Qns2.Database:1"
"main", "115", "SYSTEM", "Line Step", " <source unavailable>"
"main", "116", "SYSTEM", "Line Step", " <source unavailable>"
"main", "117", "SYSTEM", "Field Write", " context=Qns2.Reader:1, d=Qns2.Database:1"
"main", "118", "SYSTEM", "Line Step", " <source unavailable>"
"main", "119", "SYSTEM", "Method Exit", " returner=Qns2.Reader:1#Qns2.Reader:1, value=<void>"
