"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=Qns4.ReadWrite4"
"main", "5", "SYSTEM", "Method Call", " caller=SYSTEM, target=Qns4.ReadWrite4#main:1"
"main", "6", "SYSTEM", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "SYSTEM", "New Object", " object=java.lang.String[]:1"
"main", "9", "SYSTEM", "Variable Write", " context=Qns4.ReadWrite4#main:1, args=java.lang.String[]:1"
"main", "10", "SYSTEM", "Line Step", " <source unavailable>"
"main", "11", "SYSTEM", "Type Load", " class=Qns4.Database"
"main", "12", "SYSTEM", "New Object", " object=Qns4.Database:1"
"main", "13", "SYSTEM", "Method Call", " caller=Qns4.ReadWrite4#main:1, target=Qns4.Database:1#Database:1"
"main", "14", "SYSTEM", "Method Entered", " "
"main", "15", "SYSTEM", "Line Step", " <source unavailable>"
"main", "16", "SYSTEM", "Line Step", " <source unavailable>"
"main", "17", "SYSTEM", "Field Write", " context=Qns4.Database:1, data=0"
"main", "18", "SYSTEM", "Line Step", " <source unavailable>"
"main", "19", "SYSTEM", "Field Write", " context=Qns4.Database:1, r=0"
"main", "20", "SYSTEM", "Line Step", " <source unavailable>"
"main", "21", "SYSTEM", "Field Write", " context=Qns4.Database:1, w=0"
"main", "22", "SYSTEM", "Line Step", " <source unavailable>"
"main", "23", "SYSTEM", "Field Write", " context=Qns4.Database:1, w_starv=false"
"main", "24", "SYSTEM", "Line Step", " <source unavailable>"
"main", "25", "SYSTEM", "Field Write", " context=Qns4.Database:1, ww=0"
"main", "26", "SYSTEM", "Line Step", " <source unavailable>"
"main", "27", "SYSTEM", "Field Write", " context=Qns4.Database:1, wr=0"
"main", "28", "SYSTEM", "Line Step", " <source unavailable>"
"main", "29", "SYSTEM", "Field Write", " context=Qns4.Database:1, s1=java.util.concurrent.Semaphore (id=27)"
"main", "30", "SYSTEM", "Line Step", " <source unavailable>"
"main", "31", "SYSTEM", "Field Write", " context=Qns4.Database:1, s2r=java.util.concurrent.Semaphore (id=29)"
"main", "32", "SYSTEM", "Line Step", " <source unavailable>"
"main", "33", "SYSTEM", "Field Write", " context=Qns4.Database:1, s2w=java.util.concurrent.Semaphore (id=30)"
"main", "34", "SYSTEM", "Line Step", " <source unavailable>"
"main", "35", "SYSTEM", "Method Exit", " returner=Qns4.Database:1#Database:1, value=<void>"
"main", "36", "SYSTEM", "Method Returned", " "
"main", "37", "SYSTEM", "Line Step", " <source unavailable>"
"main", "38", "SYSTEM", "Variable Write", " context=Qns4.ReadWrite4#main:1, d=Qns4.Database:1"
"main", "39", "SYSTEM", "Line Step", " <source unavailable>"
"main", "40", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "41", "SYSTEM", "Type Load", " class=Qns4.Writer"
"main", "42", "SYSTEM", "New Object", " object=Qns4.Writer:1"
"main", "43", "SYSTEM", "Method Call", " caller=Qns4.ReadWrite4#main:1, target=Qns4.Writer:1#Qns4.Writer:1"
"main", "44", "SYSTEM", "Method Entered", " "
"main", "45", "SYSTEM", "Variable Write", " context=Qns4.Writer:1#Qns4.Writer:1, d=Qns4.Database:1"
"main", "46", "SYSTEM", "Variable Write", " context=Qns4.Writer:1#Qns4.Writer:1, x=1"
"main", "47", "SYSTEM", "Line Step", " <source unavailable>"
"main", "48", "SYSTEM", "Line Step", " <source unavailable>"
"main", "49", "SYSTEM", "Field Write", " context=Qns4.Writer:1, d=Qns4.Database:1"
"main", "50", "SYSTEM", "Line Step", " <source unavailable>"
"main", "51", "SYSTEM", "Field Write", " context=Qns4.Writer:1, x=1"
"main", "52", "SYSTEM", "Line Step", " <source unavailable>"
"main", "53", "SYSTEM", "Method Exit", " returner=Qns4.Writer:1#Qns4.Writer:1, value=<void>"
"main", "54", "SYSTEM", "Method Returned", " "
"main", "55", "SYSTEM", "Line Step", " <source unavailable>"
"main", "56", "SYSTEM", "Variable Write", " context=Qns4.ReadWrite4#main:1, w1=Qns4.Writer:1"
"main", "57", "SYSTEM", "Line Step", " <source unavailable>"
"main", "58", "SYSTEM", "New Object", " object=Qns4.Writer:2"
"main", "59", "SYSTEM", "Method Call", " caller=Qns4.ReadWrite4#main:1, target=Qns4.Writer:2#Qns4.Writer:2"
"main", "60", "SYSTEM", "Method Entered", " "
"main", "61", "SYSTEM", "Variable Write", " context=Qns4.Writer:2#Qns4.Writer:2, d=Qns4.Database:1"
"main", "62", "SYSTEM", "Variable Write", " context=Qns4.Writer:2#Qns4.Writer:2, x=10"
"main", "63", "SYSTEM", "Line Step", " <source unavailable>"
"main", "64", "SYSTEM", "Line Step", " <source unavailable>"
"main", "65", "SYSTEM", "Field Write", " context=Qns4.Writer:2, d=Qns4.Database:1"
"main", "66", "SYSTEM", "Line Step", " <source unavailable>"
"main", "67", "SYSTEM", "Field Write", " context=Qns4.Writer:2, x=10"
"main", "68", "SYSTEM", "Line Step", " <source unavailable>"
"main", "69", "SYSTEM", "Method Exit", " returner=Qns4.Writer:2#Qns4.Writer:2, value=<void>"
"main", "70", "SYSTEM", "Method Returned", " "
"main", "71", "SYSTEM", "Line Step", " <source unavailable>"
"main", "72", "SYSTEM", "Variable Write", " context=Qns4.ReadWrite4#main:1, w2=Qns4.Writer:2"
"main", "73", "SYSTEM", "Line Step", " <source unavailable>"
"main", "74", "SYSTEM", "New Object", " object=Qns4.Writer:3"
"main", "75", "SYSTEM", "Method Call", " caller=Qns4.ReadWrite4#main:1, target=Qns4.Writer:3#Qns4.Writer:3"
"main", "76", "SYSTEM", "Method Entered", " "
"main", "77", "SYSTEM", "Variable Write", " context=Qns4.Writer:3#Qns4.Writer:3, d=Qns4.Database:1"
"main", "78", "SYSTEM", "Variable Write", " context=Qns4.Writer:3#Qns4.Writer:3, x=100"
"main", "79", "SYSTEM", "Line Step", " <source unavailable>"
"main", "80", "SYSTEM", "Line Step", " <source unavailable>"
"main", "81", "SYSTEM", "Field Write", " context=Qns4.Writer:3, d=Qns4.Database:1"
"main", "82", "SYSTEM", "Line Step", " <source unavailable>"
"main", "83", "SYSTEM", "Field Write", " context=Qns4.Writer:3, x=100"
"main", "84", "SYSTEM", "Line Step", " <source unavailable>"
"main", "85", "SYSTEM", "Method Exit", " returner=Qns4.Writer:3#Qns4.Writer:3, value=<void>"
"main", "86", "SYSTEM", "Method Returned", " "
"main", "87", "SYSTEM", "Line Step", " <source unavailable>"
"main", "88", "SYSTEM", "Variable Write", " context=Qns4.ReadWrite4#main:1, w3=Qns4.Writer:3"
"main", "89", "SYSTEM", "Line Step", " <source unavailable>"
"main", "90", "SYSTEM", "New Object", " object=Qns4.Writer:4"
"main", "91", "SYSTEM", "Method Call", " caller=Qns4.ReadWrite4#main:1, target=Qns4.Writer:4#Qns4.Writer:4"
"main", "92", "SYSTEM", "Method Entered", " "
"main", "93", "SYSTEM", "Variable Write", " context=Qns4.Writer:4#Qns4.Writer:4, d=Qns4.Database:1"
"main", "94", "SYSTEM", "Variable Write", " context=Qns4.Writer:4#Qns4.Writer:4, x=1000"
"main", "95", "SYSTEM", "Line Step", " <source unavailable>"
"main", "96", "SYSTEM", "Line Step", " <source unavailable>"
"main", "97", "SYSTEM", "Field Write", " context=Qns4.Writer:4, d=Qns4.Database:1"
"main", "98", "SYSTEM", "Line Step", " <source unavailable>"
"main", "99", "SYSTEM", "Field Write", " context=Qns4.Writer:4, x=1000"
"main", "100", "SYSTEM", "Line Step", " <source unavailable>"
"main", "101", "SYSTEM", "Method Exit", " returner=Qns4.Writer:4#Qns4.Writer:4, value=<void>"
"main", "102", "SYSTEM", "Method Returned", " "
"main", "103", "SYSTEM", "Line Step", " <source unavailable>"
"main", "104", "SYSTEM", "Variable Write", " context=Qns4.ReadWrite4#main:1, w4=Qns4.Writer:4"
"main", "105", "SYSTEM", "Line Step", " <source unavailable>"
"main", "106", "SYSTEM", "New Object", " object=Qns4.Writer:5"
"main", "107", "SYSTEM", "Method Call", " caller=Qns4.ReadWrite4#main:1, target=Qns4.Writer:5#Qns4.Writer:5"
"main", "108", "SYSTEM", "Method Entered", " "
"main", "109", "SYSTEM", "Variable Write", " context=Qns4.Writer:5#Qns4.Writer:5, d=Qns4.Database:1"
"main", "110", "SYSTEM", "Variable Write", " context=Qns4.Writer:5#Qns4.Writer:5, x=10000"
"main", "111", "SYSTEM", "Line Step", " <source unavailable>"
"main", "112", "SYSTEM", "Line Step", " <source unavailable>"
"main", "113", "SYSTEM", "Field Write", " context=Qns4.Writer:5, d=Qns4.Database:1"
"main", "114", "SYSTEM", "Line Step", " <source unavailable>"
"main", "115", "SYSTEM", "Field Write", " context=Qns4.Writer:5, x=10000"
"main", "116", "SYSTEM", "Line Step", " <source unavailable>"
"main", "117", "SYSTEM", "Method Exit", " returner=Qns4.Writer:5#Qns4.Writer:5, value=<void>"
"main", "118", "SYSTEM", "Method Returned", " "
"main", "119", "SYSTEM", "Line Step", " <source unavailable>"
